data_year,weapon_id,offense_id,nibrs_weapon_id
2022,41,176908670,
2022,41,176908687,
2022,41,178682926,
2022,31,176908840,
2022,32,176908840,
2022,41,176908840,
2022,41,176908763,
2022,41,176908867,
2022,31,176908832,
2022,41,176908870,
2022,41,176908896,
2022,41,178683075,
2022,41,183267944,
2022,41,178683141,
2022,38,178683167,
2022,3,178682959,
2022,32,178682959,
2022,38,183267793,
2022,39,178683361,
2022,41,178682999,
2022,41,178683062,
2022,41,183267869,
2022,41,183267952,
2022,41,178683058,
2022,38,178683058,
2022,3,178683111,
2022,41,178683220,
2022,41,178683307,
2022,41,178683353,
2022,41,186809650,
2022,21,178683358,
2022,41,178683161,
2022,41,178683338,
2022,41,183268010,
2022,41,178683452,
2022,41,178683437,
2022,41,183268035,
2022,41,183267908,
2022,38,183267975,
2022,1,183268126,
2022,39,183268175,
2022,41,183267989,
2022,41,183268063,
2022,41,183268009,
2022,41,183268187,
2022,41,183268255,
2022,41,183268279,
2022,41,183268166,
2022,38,183268328,
2022,38,183268372,
2022,1,189721995,
2022,39,183268188,
2022,3,183268243,
2022,31,183268340,
2022,21,183268198,
2022,21,183268259,
2022,41,194832123,
2022,41,183268460,
2022,41,183268569,
2022,21,183268607,
2022,41,183268446,
2022,9,183268531,
2022,38,183268673,
2022,1,203040725,
2022,1,203040726,
2022,41,183268408,
2022,41,183268612,
2022,1,183268668,
2022,41,190927872,
2022,41,183268480,
2022,41,183268640,
2022,41,183268815,
2022,41,183268675,
2022,41,183268782,
2022,7,183268821,
2022,41,183268633,
2022,41,186809503,
2022,41,183268745,
2022,41,183268860,
2022,41,186809351,
2022,38,186809438,
2022,41,186809521,
2022,41,186809534,
2022,41,186809569,
2022,41,186809616,
2022,41,186809653,
2022,41,186809464,
2022,3,186809495,
2022,3,186809497,
2022,41,186809570,
2022,21,186809614,
2022,41,186809614,
2022,41,186809760,
2022,21,186809712,
2022,41,186809723,
2022,3,186809845,
2022,41,186809916,
2022,3,186809951,
2022,3,186809954,
2022,41,186809671,
2022,21,186810212,
2022,41,186810159,
2022,38,186809907,
2022,41,186809987,
2022,41,186810040,
2022,41,186810096,
2022,41,186810043,
2022,41,186810109,
2022,41,188540673,
2022,41,186810137,
2022,41,186810184,
2022,41,186810209,
2022,38,186810209,
2022,3,186810217,
2022,41,186810058,
2022,41,186810095,
2022,41,186810226,
2022,21,186810189,
2022,41,186810189,
2022,1,186810203,
2022,1,186810247,
2022,41,186810270,
2022,3,186810215,
2022,41,201399387,
2022,21,186810375,
2022,41,186810375,
2022,41,186810286,
2022,41,186810383,
2022,3,186810405,
2022,3,186810406,
2022,3,186810443,
2022,1,188540721,
2022,3,186810272,
2022,41,186810380,
2022,38,186810380,
2022,41,186810427,
2022,41,186810342,
2022,3,186810414,
2022,41,186810437,
2022,31,186810382,
2022,41,186810382,
2022,1,186810423,
2022,41,186810473,
2022,32,186810525,
2022,41,186810556,
2022,41,186810548,
2022,38,186810548,
2022,41,186810656,
2022,41,186810402,
2022,38,186810509,
2022,38,186810534,
2022,41,186810635,
2022,41,186810657,
2022,21,186810577,
2022,41,186810600,
2022,38,186810641,
2022,32,186810738,
2022,41,189722092,
2022,41,186810529,
2022,41,186810523,
