data_year,victim_id,injury_id
2022,162624212,5
2022,162624229,4
2022,164399094,5
2022,164399095,5
2022,164399096,5
2022,162624384,5
2022,162624385,5
2022,162624299,4
2022,162624411,5
2022,162624373,3
2022,162624413,4
2022,162624414,4
2022,162624443,5
2022,162624444,5
2022,164399234,5
2022,164399235,5
2022,168938172,1
2022,168938172,6
2022,164399289,5
2022,164399313,5
2022,164399124,5
2022,168938033,4
2022,168938035,5
2022,164399492,4
2022,164399163,4
2022,164399221,4
2022,164399222,4
2022,168938107,4
2022,168938182,5
2022,164399217,4
2022,164399265,5
2022,164399357,4
2022,164399448,5
2022,164399483,5
2022,164399484,5
2022,172479473,4
2022,164399489,5
2022,164399490,5
2022,164399306,4
2022,164399470,5
2022,168938232,6
2022,164399570,4
2022,164399572,4
2022,164399558,4
2022,168938254,5
2022,168938255,5
2022,168938256,5
2022,168938138,5
2022,168938140,5
2022,168938379,5
2022,168938210,4
2022,168938283,4
2022,168938284,5
2022,168938231,4
2022,168938391,4
2022,168938445,4
2022,168938446,4
2022,168938470,5
2022,168938471,5
2022,168938374,5
2022,168938513,5
2022,168938514,5
2022,168938557,5
2022,175388971,5
2022,175388973,5
2022,175388974,5
2022,168938389,5
2022,168938435,5
2022,168938436,5
2022,168938528,5
2022,168938401,5
2022,168938450,4
2022,180477172,4
2022,168938632,4
2022,168938720,4
2022,168938721,4
2022,168938752,4
2022,168938619,4
2022,168938687,4
2022,168938822,5
2022,188663610,2
2022,188663610,6
2022,168938585,5
2022,168938757,5
2022,176586503,5
2022,168938649,4
2022,168938791,5
2022,168938970,4
2022,168938825,4
2022,168938826,5
2022,168938929,5
2022,168938979,5
2022,168938980,5
2022,168938785,4
2022,172479316,1
2022,172479316,3
2022,168938888,5
2022,168938889,5
2022,168939011,4
2022,172479166,5
2022,172479167,5
2022,172479253,5
2022,172479334,4
2022,172479335,5
2022,172479346,4
2022,172479383,5
2022,172479441,4
2022,172479469,4
2022,172479470,4
2022,172479471,4
2022,172479275,5
2022,172479309,5
2022,172479381,4
2022,172479440,3
2022,172479588,5
2022,172479589,5
2022,172479540,5
2022,172479547,5
2022,172479551,5
2022,172479673,5
2022,172479675,5
2022,172479751,4
2022,172479782,5
2022,172479783,5
2022,172479784,5
2022,172479492,4
2022,172479493,5
2022,172480039,5
2022,172479983,5
2022,172479742,3
2022,172479742,4
2022,172479818,3
2022,172479869,5
2022,172479871,5
2022,172479928,4
2022,172479873,4
2022,172479874,4
2022,172479942,5
2022,174203553,4
2022,172479968,5
2022,172480013,5
2022,172480036,4
2022,172480036,8
2022,172480045,5
2022,172480046,5
2022,172479888,5
2022,172479927,5
2022,172480057,5
2022,172480017,4
2022,172480031,5
2022,172480075,2
2022,172480075,6
2022,172480097,5
2022,172480042,5
2022,172480043,5
2022,187028643,4
2022,187028644,5
2022,172480190,4
2022,172480113,4
2022,172480197,4
2022,172480218,5
2022,172480219,5
2022,172480220,5
2022,172480221,5
2022,172480099,5
2022,172480194,5
2022,172480238,4
2022,172480162,4
2022,172480248,4
2022,172480249,4
2022,172480196,3
2022,172480283,5
2022,172480336,5
2022,172480368,4
2022,172480361,5
2022,172480362,5
2022,172480465,5
2022,172480215,4
2022,172480317,5
2022,172480342,5
2022,172480446,5
2022,172480466,4
2022,172480409,5
2022,172480452,5
2022,172480542,3
2022,175389074,4
2022,172480339,4
2022,172480333,4
2022,172480280,5
2022,172480281,5
2022,172480304,1
2022,172480521,5
2022,172480579,5
2022,172480484,2
2022,172480701,5
2022,172480406,4
2022,172480447,5
2022,172480448,4
2022,172480526,5
2022,172480454,4
2022,180477200,5
2022,172480527,4
2022,172480590,4
2022,172480626,4
2022,180477314,5
2022,180477315,5
2022,172480854,5
2022,174203480,4
2022,172480624,5
2022,172480692,4
2022,183213632,5
2022,174203753,5
2022,174203754,3
2022,175389068,4
2022,174203784,4
2022,175389097,3
2022,174203733,5
2022,180477322,5
2022,188663478,5
2022,174203838,1
2022,174203817,5
2022,174203924,4
2022,174203657,4
2022,174203962,4
2022,174203734,7
2022,180477361,4
2022,174204001,5
2022,180477260,5
2022,174203945,4
2022,174203946,4
2022,174204069,5
2022,174204123,5
2022,174204124,5
2022,174204125,4
2022,174204126,4
2022,174204127,5
2022,174203969,4
2022,174204023,4
2022,174204024,4
2022,175389203,5
2022,176586581,2
2022,180477331,6
2022,174204078,5
2022,187028593,4
2022,174204167,4
2022,174204221,4
2022,175389174,5
2022,175389193,4
2022,175389197,4
2022,175389188,4
2022,175389208,5
2022,175389209,5
2022,175389220,5
2022,176586786,5
2022,175389081,4
2022,175389094,4
2022,175389130,4
2022,175389131,4
2022,175389306,4
2022,175389325,4
2022,175389303,4
2022,175389340,4
2022,180477408,5
2022,175389342,4
2022,175389255,4
2022,176586642,5
2022,176586656,5
2022,176586662,5
2022,188663529,5
2022,175389269,4
2022,176586809,5
2022,175389334,4
2022,176586666,3
2022,176586697,4
2022,175389486,5
2022,176586527,5
2022,176586605,4
2022,176586726,4
2022,176586760,5
2022,176586834,5
2022,176586836,5
2022,176586837,5
2022,176586838,5
2022,176586788,4
2022,176586857,5
2022,176586858,4
2022,176586691,5
