data_year,criminal_act_id,offense_id
2022,6,176908831
2022,6,186821892
2022,6,186821714
2022,6,190940242
2022,6,190940266
2022,6,194856875
2022,6,176908727
2022,6,176908728
2022,6,176908675
2022,8,176908675
2022,6,176908676
2022,8,176908676
2022,6,176908696
2022,8,176908696
2022,6,176908697
2022,8,176908697
2022,6,178682917
2022,8,178682917
2022,6,176908871
2022,8,176908871
2022,6,176908872
2022,8,176908872
2022,3,176908740
2022,6,176908740
2022,3,176908741
2022,6,176908741
2022,14,176908913
2022,6,178683320
2022,8,178683320
2022,6,178683321
2022,8,178683321
2022,6,178683015
2022,6,178683153
2022,8,178683153
2022,6,178683154
2022,8,178683154
2022,6,183267871
2022,6,178683335
2022,6,178683337
2022,6,178683092
2022,8,178683092
2022,6,178683093
2022,8,178683093
2022,8,178683173
2022,6,186809206
2022,8,186809206
2022,6,178683123
2022,6,178683225
2022,6,178683226
2022,8,178683226
2022,6,178683388
2022,8,178683388
2022,6,178683389
2022,3,178683133
2022,6,178683133
2022,8,178683133
2022,3,178683134
2022,6,178683134
2022,8,178683134
2022,6,178683195
2022,8,178683195
2022,6,178683196
2022,8,178683196
2022,3,178683191
2022,6,178683191
2022,8,178683191
2022,3,178683192
2022,6,178683192
2022,8,178683192
2022,6,178683486
2022,8,178683486
2022,6,178683487
2022,8,178683487
2022,6,178683411
2022,8,178683411
2022,6,178683412
2022,8,178683412
2022,6,183267971
2022,3,183267972
2022,6,183267972
2022,8,183267972
2022,3,183267974
2022,6,183267974
2022,8,183267974
2022,6,183267975
2022,3,183268083
2022,6,183268083
2022,8,183268083
2022,3,183268084
2022,6,183268084
2022,8,183268084
2022,3,183268124
2022,6,183268124
2022,8,183268124
2022,3,183268125
2022,6,183268125
2022,8,183268125
2022,6,183268126
2022,6,183268120
2022,8,183268120
2022,6,183268121
2022,6,183268176
2022,8,183268176
2022,6,183268238
2022,8,183268238
2022,6,183268239
2022,8,183268239
2022,6,183268111
2022,8,183268111
2022,6,183268112
2022,6,183268161
2022,8,183268161
2022,6,183268162
2022,8,183268162
2022,6,183268217
2022,8,183268217
2022,6,183268218
2022,8,183268218
2022,6,183268373
2022,8,183268373
2022,6,183268374
2022,8,183268374
2022,6,183268395
2022,6,183268088
2022,8,183268088
2022,6,183268089
2022,8,183268089
2022,6,183268319
2022,8,183268319
2022,6,183268394
2022,6,183268483
2022,8,183268483
2022,6,183268484
2022,8,183268484
2022,6,183268521
2022,8,183268521
2022,6,183268522
2022,6,183268588
2022,8,183268588
2022,3,183268589
2022,6,183268589
2022,6,203040726
2022,8,203040726
2022,6,183268637
2022,8,183268637
2022,6,183268668
2022,6,183268716
2022,8,183268716
2022,6,183268717
2022,8,183268717
2022,8,183268499
2022,6,183268536
2022,8,183268536
2022,6,183268537
2022,8,183268537
2022,6,183268730
2022,6,183268846
2022,8,183268846
2022,6,183268847
2022,8,183268847
2022,6,186809352
2022,8,186809352
2022,6,183268761
2022,6,186809391
2022,8,186809391
2022,6,186809392
2022,8,186809392
2022,6,186809568
2022,8,186809568
2022,6,186809851
2022,8,186809851
2022,6,186809497
2022,6,186809532
2022,8,186809532
2022,6,186809533
2022,8,186809533
2022,6,186809637
2022,8,186809637
2022,6,186809638
2022,6,186809718
2022,3,186809788
2022,6,186809788
2022,3,186809789
2022,6,186809789
2022,6,186809812
2022,8,186809812
2022,6,186809848
2022,6,186809849
2022,3,186809572
2022,6,186809572
2022,8,186809572
2022,3,186809574
2022,6,186809574
2022,8,186809574
2022,6,186809618
2022,8,186809618
2022,6,186809619
2022,8,186809619
2022,6,186809601
2022,8,186809601
2022,6,186809602
