data_year,arrestee_id,nibrs_arrestee_weapon_id,weapon_id
2022,45179953,,51
2022,48556431,,51
2022,48556432,,51
2022,45179912,,51
2022,45179916,,51
2022,45179925,,51
2022,45179914,,51
2022,45179919,,51
2022,45179956,,51
2022,45179957,,51
2022,45179933,,51
2022,45179950,,51
2022,45179951,,51
2022,45601825,,51
2022,45179963,,51
2022,45179964,,51
2022,45179930,,51
2022,45179938,,51
2022,45179942,,51
2022,45179958,,51
2022,45601834,,51
2022,46716498,,51
2022,47541806,,51
2022,45179954,,51
2022,45601894,,51
2022,45601933,,51
2022,45601842,,51
2022,45601853,,51
2022,45601889,,51
2022,45601918,,51
2022,45601934,,51
2022,46716479,,51
2022,45601850,,51
2022,46716512,,51
2022,45601936,,51
2022,45601864,,51
2022,45601868,,51
2022,45601872,,1
2022,45601906,,51
2022,47541764,,51
2022,45601891,,51
2022,47541892,,51
2022,45601908,,51
2022,45601943,,51
2022,45601948,,51
2022,45601881,,51
2022,45601882,,51
2022,45601892,,51
2022,45601897,,51
2022,45601898,,51
2022,45601937,,51
2022,47541770,,51
2022,46716564,,51
2022,45601971,,51
2022,45601954,,51
2022,45601955,,51
2022,46716577,,51
2022,46716543,,51
2022,46716552,,53
2022,46716553,,51
2022,46716597,,51
2022,46716598,,51
2022,46716612,,1
2022,46716613,,51
2022,46716639,,51
2022,46716653,,51
2022,46716654,,51
2022,46716556,,51
2022,46716590,,51
2022,46716591,,51
2022,46716563,,51
2022,46716607,,51
2022,46716634,,51
2022,46716649,,51
2022,46716671,,51
2022,46716672,,51
2022,49485826,,51
2022,46716625,,51
2022,46716693,,51
2022,46716716,,51
2022,46716689,,51
2022,47968577,,51
2022,48249175,,51
2022,48249177,,51
2022,46716633,,51
2022,46716656,,51
2022,46716733,,51
2022,46716608,,51
2022,46716637,,51
2022,46716661,,51
2022,49485845,,51
2022,46716732,,51
2022,46716695,,51
2022,46716696,,51
2022,47541799,,51
2022,47541800,,51
2022,46716715,,51
2022,46716720,,51
2022,46716769,,51
2022,46716723,,51
2022,46716742,,51
2022,46716726,,51
2022,46716755,,51
2022,46716775,,51
2022,46716776,,51
2022,46716798,,51
2022,46716779,,51
2022,46716796,,51
2022,46716811,,51
2022,46716741,,51
2022,46716759,,51
2022,46716780,,51
2022,46716816,,51
2022,46716831,,51
2022,46716838,,51
