data_year,groupb_arrestee_id,weapon_code,weapon_id
2022,45607838,01,51
2022,44610201,01,51
2022,44610212,01,51
2022,44610384,01,51
2022,44610396,01,51
2022,44610374,01,51
2022,44610388,01,51
2022,44610320,01,51
2022,44610340,01,51
2022,44610354,01,51
2022,44610366,01,51
2022,44610385,01,51
2022,44610275,01,51
2022,44610291,01,51
2022,44610317,01,51
2022,44610344,01,51
2022,44610257,01,51
2022,44610339,01,51
2022,44610227,01,51
2022,44610236,01,51
2022,44610270,01,51
2022,44610173,01,51
2022,44610182,01,51
2022,44610240,01,51
2022,44610206,01,51
2022,44610315,01,51
2022,44610321,01,51
2022,44610235,01,51
2022,44610211,01,51
2022,44610230,01,51
2022,44610241,01,51
2022,44610254,01,51
2022,44610269,01,51
2022,44610284,01,51
2022,44610290,01,51
2022,44610262,01,51
2022,44610195,01,51
2022,46196083,01,51
2022,46196079,01,51
2022,46196087,01,51
2022,46196098,01,51
2022,46196089,01,51
2022,46196093,01,51
2022,44610207,01,51
2022,44610226,01,51
2022,44610280,01,51
2022,44610307,01,51
2022,44610319,01,51
2022,44610152,01,51
2022,44610158,01,51
2022,44610163,01,51
2022,44610188,01,51
2022,44610191,01,51
2022,44610205,01,51
2022,44610216,01,51
2022,44610285,01,51
2022,46196060,01,51
2022,46196105,01,51
2022,46196096,01,51
2022,46196090,01,51
2022,46196100,01,51
2022,46196103,01,51
2022,46196065,01,51
2022,46498543,01,51
2022,44610302,01,51
2022,44610316,01,51
2022,44610337,01,51
2022,44610305,01,51
2022,44610375,01,51
2022,44610393,01,51
2022,44898283,01,51
2022,46498542,01,51
2022,44898294,01,51
2022,44898310,01,51
2022,44898270,01,51
2022,44898277,01,51
2022,44898282,01,51
2022,44898287,01,51
2022,44898299,01,51
2022,44898314,01,51
2022,44898322,01,51
2022,44898344,01,51
2022,44898340,01,51
2022,44898347,01,51
2022,44898325,01,51
2022,44898297,01,51
2022,44898273,01,51
2022,44898278,01,51
2022,44898293,01,51
2022,44898309,01,51
2022,44898271,01,51
2022,44898300,01,51
2022,44898315,01,51
2022,44898319,01,51
2022,44898328,01,51
2022,44898265,01,51
2022,44898267,01,51
2022,44898274,01,51
2022,44898286,01,51
2022,44898333,01,51
2022,44898292,01,51
2022,44898306,01,51
2022,44898330,01,51
2022,44898337,01,51
2022,44898272,16,52
2022,44898275,01,51
2022,44898279,01,51
2022,44898280,01,51
2022,44898291,01,51
2022,46498539,01,51
