yearly_agency_id,agency_id,data_year,ori,legacy_ori,covered_by_legacy_ori,direct_contributor_flag,dormant_flag,dormant_year,reporting_type,ucr_agency_name,ncic_agency_name,pub_agency_name,pub_agency_unit,agency_status,state_id,state_name,state_abbr,state_postal_abbr,division_code,division_name,region_code,region_name,region_desc,agency_type_name,population,submitting_agency_id,sai,submitting_agency_name,suburban_area_flag,population_group_id,population_group_code,population_group_desc,parent_pop_group_code,parent_pop_group_desc,mip_flag,pop_sort_order,summary_rape_def,pe_reported_flag,male_officer,male_civilian,male_officer+male_civilian,female_officer,female_civilian,female_officer+female_civilian,officer_rate,employee_rate,nibrs_cert_date,nibrs_start_date,nibrs_leoka_start_date,nibrs_ct_start_date,nibrs_multi_bias_start_date,nibrs_off_eth_start_date,covered_flag,county_name,msa_name,publishable_flag,participated,nibrs_participated
186322022,18632,2022,TN0780500,TN0780500,,N,N,,I,DTF:4TH JUDICIAL DISTRIC,4TH JUDICIAL DIST DRUG TASK FORCE SEVIERVILLE,Drug Task Force:,4th Judicial District,A,47,Tennessee,TN,TN,6,East South Central,3,South,Region III,Other,0,23392,TNUCR0001,Tennessee Bureau of Investigation Statistics,N,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,Y,1,0,1,0,0,0,0,0,1996-07-01,1998-01-01,2004-06-01,2013-01-01,2015-06-01,2013-04-01,N,SEVIER,Not Specified,Y,Y,Y
186332022,18633,2022,TN0790000,TN0790000,,N,N,,I,SHELBY,SHELBY CO SO MEMPHIS,Shelby,,A,47,Tennessee,TN,TN,6,East South Central,3,South,Region III,County,138198,23392,TNUCR0001,Tennessee Bureau of Investigation Statistics,Y,19,9A,"MSA counties 100,000 or over",9,MSA Counties,Y,19,,Y,538,338,876,82,582,664,4.5,11.1,1996-07-01,2000-08-01,2004-06-01,2013-01-01,2015-06-01,2013-04-01,N,SHELBY,"Memphis, TN-MS-AR",Y,Y,Y
186342022,18634,2022,TN0790100,TN0790100,,N,N,,I,COLLIERVILLE,COLLIERVILLE PD,Collierville,,A,47,Tennessee,TN,TN,6,East South Central,3,South,Region III,City,51439,23392,TNUCR0001,Tennessee Bureau of Investigation Statistics,N,7,3,"Cities from 50,000 thru 99,999",3,"Cities from 50,000 thru 99,999",N,7,,Y,103,13,116,9,22,31,2.2,2.9,1996-07-01,1999-07-01,2004-06-01,2013-01-01,2015-06-01,2013-04-01,N,SHELBY,"Memphis, TN-MS-AR",Y,Y,Y
186352022,18635,2022,TN0790200,TN0790200,,N,N,,I,GERMANTOWN,GERMANTOWN PD,Germantown,,A,47,Tennessee,TN,TN,6,East South Central,3,South,Region III,City,40859,23392,TNUCR0001,Tennessee Bureau of Investigation Statistics,Y,8,4,"Cities from 25,000 thru 49,999",4,"Cities from 25,000 thru 49,999",N,8,,Y,91,5,96,9,20,29,2.4,3.1,1996-07-01,1999-03-01,2004-06-01,2013-01-01,2015-06-01,2013-04-01,N,SHELBY,"Memphis, TN-MS-AR",Y,Y,Y
186362022,18636,2022,TN0790400,TN0790400,,N,N,,I,MILLINGTON,MILLINGTON PD,Millington,,A,47,Tennessee,TN,TN,6,East South Central,3,South,Region III,City,10461,23392,TNUCR0001,Tennessee Bureau of Investigation Statistics,Y,9,5,"Cities from 10,000 thru 24,999",5,"Cities from 10,000 thru 24,999",N,9,,Y,18,3,21,2,7,9,1.9,2.9,1996-07-01,1999-10-01,2004-06-01,2013-01-01,2015-06-01,2013-04-01,N,SHELBY,"Memphis, TN-MS-AR",Y,Y,Y
186372022,18637,2022,TN0790500,TN0790500,,N,N,,I,UNIV OF TN: HEALTH SCI C,UNIV OF TN: HEALTH SCI C,University of Tennessee:,Health Science Center,A,47,Tennessee,TN,TN,6,East South Central,3,South,Region III,University or College,0,23392,TNUCR0001,Tennessee Bureau of Investigation Statistics,Y,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,Y,23,10,33,7,29,36,0,0,1996-07-01,1997-10-01,2004-06-01,2013-01-01,2015-06-01,2013-04-01,N,SHELBY,"Memphis, TN-MS-AR",Y,Y,Y
186382022,18638,2022,TN0790600,TN0790600,,N,N,,I,BARTLETT,BARTLETT PD,Bartlett,,A,47,Tennessee,TN,TN,6,East South Central,3,South,Region III,City,56928,23392,TNUCR0001,Tennessee Bureau of Investigation Statistics,N,7,3,"Cities from 50,000 thru 99,999",3,"Cities from 50,000 thru 99,999",N,7,,Y,121,11,132,13,31,44,2.4,3.1,1996-07-01,1999-06-01,2004-06-01,2013-01-01,2015-06-01,2013-04-01,N,SHELBY,"Memphis, TN-MS-AR",Y,Y,Y
186392022,18639,2022,TN0790900,TN0790900,,N,N,,I,UNIVERSITY OF MEMPHIS,UNIVERSITY OF MEMPHIS DEPT OF POLICE SERVICES,University of Memphis,,A,47,Tennessee,TN,TN,6,East South Central,3,South,Region III,University or College,0,23392,TNUCR0001,Tennessee Bureau of Investigation Statistics,Y,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,Y,33,13,46,2,8,10,0,0,1996-07-01,1998-01-01,2004-06-01,2013-01-01,2015-06-01,2013-04-01,N,SHELBY,"Memphis, TN-MS-AR",Y,Y,Y
186492022,18649,2022,TN0791000,TN0791000,,N,N,,I,MEMPHIS-SHELBY CNTY A A,MEMPHIS-SHELBY CO AIRPORT AUTH PD MEMPHIS,Memphis-Shelby County Airport Authority,,A,47,Tennessee,TN,TN,6,East South Central,3,South,Region III,Other,0,23392,TNUCR0001,Tennessee Bureau of Investigation Statistics,Y,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,Y,41,0,41,5,13,18,0,0,1996-07-01,1999-12-01,2004-06-01,2013-01-01,2015-06-01,2013-04-01,N,SHELBY,"Memphis, TN-MS-AR",Y,Y,Y
186602022,18660,2022,TN0792000,TN0792000,,N,N,,I,WEST TN VIOLENT CRIME TF,W TN JUDICIAL VIOLENT CRIME AND DRUG TASK FORCE,West Tennessee Violent Crime Task Force,,A,47,Tennessee,TN,TN,6,East South Central,3,South,Region III,Other,0,23392,TNUCR0001,Tennessee Bureau of Investigation Statistics,Y,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,Y,6,0,6,0,1,1,0,0,1996-07-01,1999-07-01,2004-06-01,2013-01-01,2015-06-01,2013-04-01,N,SHELBY,"Memphis, TN-MS-AR",Y,Y,Y
186612022,18661,2022,TN0792400,TN0792400,,N,N,,I,SOUTHWEST TN COMM COLLEG,SOUTHWEST TN COMMUNITY COLLEGE,Southwest Tennessee Community College,,A,47,Tennessee,TN,TN,6,East South Central,3,South,Region III,University or College,0,23392,TNUCR0001,Tennessee Bureau of Investigation Statistics,Y,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,Y,21,0,21,3,2,5,0,0,1996-07-01,2003-01-01,2004-06-01,2013-01-01,2015-06-01,2013-04-01,N,SHELBY,"Memphis, TN-MS-AR",Y,Y,Y
186632022,18663,2022,TN0800000,TN0800000,,N,N,,I,SMITH,SMITH CO SO CARTHAGE,Smith,,A,47,Tennessee,TN,TN,6,East South Central,3,South,Region III,County,15240,23392,TNUCR0001,Tennessee Bureau of Investigation Statistics,Y,21,9C,"MSA counties from 10,000 thru 24,999",9,MSA Counties,N,21,,Y,29,14,43,1,16,17,2.0,3.9,1996-07-01,1999-04-01,2004-06-01,2013-01-01,2015-06-01,2013-04-01,N,SMITH,"Nashville-Davidson--Murfreesboro--Franklin, TN",Y,Y,Y
186642022,18664,2022,TN0800100,TN0800100,,N,N,,I,CARTHAGE,CARTHAGE PD,Carthage,,A,47,Tennessee,TN,TN,6,East South Central,3,South,Region III,City,2276,23392,TNUCR0001,Tennessee Bureau of Investigation Statistics,Y,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,Y,8,1,9,0,4,4,3.5,5.7,1996-07-01,1999-02-01,2004-06-01,2013-01-01,2015-06-01,2013-04-01,N,SMITH,"Nashville-Davidson--Murfreesboro--Franklin, TN",Y,Y,Y
186652022,18665,2022,TN0800200,TN0800200,,N,N,,I,SOUTH CARTHAGE,SOUTH CARTHAGE PD,South Carthage,,A,47,Tennessee,TN,TN,6,East South Central,3,South,Region III,City,1563,23392,TNUCR0001,Tennessee Bureau of Investigation Statistics,Y,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,Y,3,0,3,1,0,1,2.6,2.6,1996-07-01,1999-08-01,2004-06-01,2013-01-01,2015-06-01,2013-04-01,N,SMITH,"Nashville-Davidson--Murfreesboro--Franklin, TN",Y,Y,Y
